sepal length,sepal width,petal length,petal width,iris,Seto=0 || Versi=1
5.1,3.5,1.4,0.2,Iris-setosa,0
4.9,3,1.4,0.2,Iris-setosa,0
4.7,3.2,1.3,0.2,Iris-setosa,0
4.6,3.1,1.5,0.2,Iris-setosa,0
5,3.6,1.4,0.2,Iris-setosa,0
5.4,3.9,1.7,0.4,Iris-setosa,0
4.6,3.4,1.4,0.3,Iris-setosa,0
5,3.4,1.5,0.2,Iris-setosa,0
4.4,2.9,1.4,0.2,Iris-setosa,0
4.9,3.1,1.5,0.1,Iris-setosa,0
7,3.2,4.7,1.4,Iris-versicolor,1
6.4,3.2,4.5,1.5,Iris-versicolor,1
6.9,3.1,4.9,1.5,Iris-versicolor,1
5.5,2.3,4,1.3,Iris-versicolor,1
6.5,2.8,4.6,1.5,Iris-versicolor,1
5.7,2.8,4.5,1.3,Iris-versicolor,1
6.3,3.3,4.7,1.6,Iris-versicolor,1
4.9,2.4,3.3,1,Iris-versicolor,1
6.6,2.9,4.6,1.3,Iris-versicolor,1
5.2,2.7,3.9,1.4,Iris-versicolor,1
,,,,,
,Learning rate = 0.1,,,,
,Semua Weight dan Bias awal dengan formula random dari Program tabel,,,,
,,,,,
