sepal length,sepal width,petal length,petal width,iris,Seto=0 || Versi=1,,Sigmoid1,,,,,,,,,,,,,Sigmoid2,,,,,,,,,,,,,Sigmoid3,,,,,,,,,Sigmoid4,,,,,,,,,Sigmoid5,,,,,,,,,Sigmoid6,,,,,,,,,,,Sigmoid7,,,,,,,,,,,Sigmoid8,,,,,,,,,
,,,,,,,w1,w2,w3,w4,bias,result,activation,Δw1,Δw2,Δw3,Δw4,Δbias,,w1,w2,w3,w4,bias,result,activation,Δw1,Δw2,Δw3,Δw4,Δbias,,w1,w2,bias,result,activation,Δw1,Δw2,Δbias,,w1,w2,bias,result,activation,Δw1,Δw2,Δbias,,w1,w2,bias,result,activation,Δw1,Δw2,Δbias,,w1,w2,w3,bias,result,activation,Δw1,Δw2,Δw3,Δbias,,w1,w2,w3,bias,result,activation,Δw1,Δw2,Δw3,Δbias,,w1,w2,bias,result,activation,Δw1,Δw2,Δbias,error,prediksi
5.1,3.5,1.4,0.2,Iris-setosa,0,,0.452543796168721,0.686554604425621,0.755619030386078,0.465061443194766,0.147803666797166,6.00959707392678,0.997550935446771,-0.0248582507630639,-0.0170595838570046,-0.00682383354280185,-0.000974833363257407,-0.00487416681628703,,0.736235153188597,0.569860441514963,0.551897210073155,0.448236804110341,0.147803666797166,6.75941794828587,0.998841439717189,-0.0117899486032524,-0.00809114119831046,-0.00323645647932419,-0.000462350925617741,-0.0023117546280887,,0.950681949867408,0.577931364094359,0.968753966237092,2.49436943040941,0.923746152251669,-0.12981716591163,-0.12998510681673,-0.130135877075278,,0.550595415137802,0.125157777428264,0.968753966237092,1.64301371225876,0.837944596717604,-0.22701742932531,-0.22701742932531,-0.227574774639088,,0.782240652883166,0.931548987598682,0.968753966237092,2.67954859320534,0.935809012694868,-0.112153692956222,-0.112298783111081,-0.11242903893022,,0.371927364405116,0.341314616008594,0.372660086078379,0.151874411803637,1.1301822890789,0.755872538329674,-0.257689313245142,-0.233754010384022,-0.233754010384022,-0.278961176311278,,0.614808701122437,0.91334845297801,0.0856462113057533,0.151874411803637,1.56528548137273,0.82711047739153,-0.218513542465383,-0.198217055380606,-0.221367030256681,-0.236551504905051,,0.721815942710629,0.90597561311739,0.785566635611536,2.08050940630565,0.888994313209378,-0.132623888369289,-0.145123155108991,-0.175458006005035,0.790310888918614,1
4.9,3,1.4,0.2,Iris-setosa,0,,0.450057971092415,0.684848646039921,0.754936647031798,0.46496395985844,0.147316250115537,5.55705034440434,0.996154697705202,-0.0373947072423935,-0.0228947187198327,-0.0106842020692553,-0.00152631458132218,-0.00763157290661091,,0.735056158328272,0.569051327395132,0.551573564425223,0.448190569017779,0.147572491334357,6.31834275332715,0.998200315773031,-0.0175734808268104,-0.0107592739755982,-0.00502099452194583,-0.000717284931706548,-0.00358642465853274,,0.937700233276245,0.564932853412686,0.955740378529564,2.45375102361406,0.920835323553562,-0.133737181234618,-0.134011812469008,-0.134253426242633,,0.527893672205271,0.102456034495733,0.945996488773183,1.57413189621581,0.828371845212983,-0.234636718165748,-0.235118548057392,-0.2355424500896,,0.771025283587544,0.920319109287574,0.95751106234407,2.6442343461421,0.933654737059565,-0.115223035594701,-0.115459647763459,-0.115667813302627,,0.346158433080602,0.317939214970192,0.349284685039977,0.12397829417251,1.03221640183944,0.73734536586949,-0.262989823825689,-0.236582329176962,-0.266651037957312,-0.28559919140677,,0.592957346875898,0.893526747439949,0.0635095082800852,0.128219261313132,1.47370368545507,0.813619675375073,-0.227224373604769,-0.204408181165303,-0.230387678844452,-0.246758967420902,,0.7085535538737,0.891463297606491,0.768020835011032,2.01578159323755,0.882444111861956,-0.134995644588372,-0.148960199129373,-0.183083329518431,0.778707610559837,1
4.7,3.2,1.3,0.2,Iris-setosa,0,,0.446318500368175,0.682559174167938,0.753868226824873,0.464811328400308,0.146553092824876,5.5014303624451,0.995935656249833,-0.037894907218736,-0.0258007878936075,-0.010481570081778,-0.00161254924335047,-0.00806274621675233,,0.733298810245591,0.567975399997572,0.551071464973028,0.448118840524608,0.147213848868504,6.21725620958487,0.998009260166233,-0.0186385233500795,-0.012690058451118,-0.00515533624576668,-0.000793128653194874,-0.00396564326597437,,0.924326515152783,0.551531672165785,0.942315035905301,2.41331848645953,0.917837282839955,-0.137869264825773,-0.138156317755046,-0.138431899651947,,0.504430000388696,0.0789441796899937,0.922442243764223,1.50360908960028,0.818112142270592,-0.242488228927006,-0.242993105459972,-0.243477806427866,,0.759502980028074,0.908773144511228,0.945944281013807,2.60932439346436,0.931459276170914,-0.118450720710271,-0.11869734294618,-0.118934109816185,,0.319859450698033,0.294280982052496,0.322619581244245,0.0954183750318327,0.930259150431984,0.717127858539553,-0.267041683276792,-0.238026987643316,-0.271004956611504,-0.290946650642166,,0.570234909515421,0.873085929323419,0.04047074039564,0.103543364571042,1.37890527108128,0.798815124439207,-0.235658754136109,-0.210053886234135,-0.239156260760913,-0.256754392681607,,0.695053989414863,0.876567277693553,0.749712502059189,1.94837028006776,0.875268828686231,-0.137051727620472,-0.152663143050546,-0.191111983711776,0.766095522469766,1
4.6,3.1,1.5,0.2,Iris-setosa,0,,0.442529009646302,0.679979095378577,0.752820069816695,0.464650073475973,0.145746818203201,5.51147557767001,0.995976115621821,-0.0367224094126932,-0.0247477106911628,-0.0119746987215304,-0.00159662649620405,-0.00798313248102026,,0.731434957910583,0.56670639415246,0.550555931348451,0.448039527659289,0.146817284541907,6.18364971535775,0.997941361579609,-0.0188615746774523,-0.0127110611956744,-0.00615051348177792,-0.000820068464237055,-0.00410034232118528,,0.910539588670206,0.537716040390281,0.928471845940106,2.37195660607402,0.914663705477362,-0.142211786782359,-0.142492397064815,-0.142786342515424,,0.480181177495995,0.0546448691439965,0.898094463121437,1.43087582219551,0.807037742329999,-0.250345034914821,-0.250839012190181,-0.25135646426473,,0.747657907957047,0.89690341021661,0.934050870032189,2.57375729941014,0.929153428089541,-0.121835156983357,-0.122075560388642,-0.122327388249959,,0.293155282370353,0.270478283288164,0.295519085583095,0.0663237099676161,0.827330961350339,0.695790280050585,-0.269414672056058,-0.237713388412218,-0.273682627417539,-0.294550522167545,,0.54666903410181,0.852080540700006,0.0165551143195487,0.0778679253028814,1.28092964677645,0.782607981319181,-0.243569880306056,-0.214909682241298,-0.247428413208566,-0.266294463033205,,0.681348816652816,0.861300963388499,0.730601303688011,1.87873819590475,0.867466125800827,-0.13878428619907,-0.156101189072635,-0.199462812543142,0.752497479411896,1
5,3.6,1.4,0.2,Iris-setosa,0,,0.438856768705032,0.677504324309461,0.751622599944542,0.464490410826353,0.144948504955099,5.92341763808195,0.997331103272566,-0.0265466971852828,-0.0191136219734036,-0.00743307521187919,-0.00106186788741131,-0.00530933943705656,,0.729548800442838,0.565435288032893,0.549940880000274,0.447957520812865,0.146407250309788,6.68922702560535,0.99875730204945,-0.0123961127325315,-0.00892520116742265,-0.00347091156510881,-0.000495844509301259,-0.00247922254650629,,0.89631840999197,0.523466800683799,0.914193211688564,2.33093572997278,0.911406920741283,-0.14678909739962,-0.146999008060668,-0.147181910719477,,0.455146674004513,0.0295609679249784,0.872958816694964,1.35641498380145,0.795176420826182,-0.258330864350054,-0.258700281448908,-0.259022167765938,,0.735474392258711,0.884695854177746,0.921818131207193,2.53892606272019,0.92682602601918,-0.125378318755078,-0.12555761167422,-0.125713836000574,,0.266213815164748,0.246706944446942,0.268150822841341,0.0368686577508616,0.72420247787505,0.673531759199102,-0.269959996969347,-0.235532361309849,-0.274527157388434,-0.296201390208644,,0.522312046071205,0.830589572475876,-0.00818772700130792,0.0512384789995609,1.18015393751356,0.764975481009491,-0.250697798938684,-0.218726645510796,-0.254939083119003,-0.275066815089337,,0.667470388032909,0.845690844481235,0.710655022433697,1.80715028764117,0.859017107922126,-0.140138710277124,-0.1591649923528,-0.208065482233182,0.737910391702893,1
5.4,3.9,1.7,0.4,Iris-setosa,0,,0.436202098986504,0.67559296211212,0.750879292423354,0.464384224037612,0.144417571011393,6.59696994451053,0.998637363033641,-0.0146764001246923,-0.0105996223122778,-0.00462034818740313,-0.00108714074997721,-0.00271785187494302,,0.728309189169585,0.56454276791615,0.549593788843763,0.447907936361935,0.146159328055137,7.39421836002305,0.999385580702636,-0.00662757667742131,-0.00478658315591539,-0.00208645932437337,-0.000490931605734912,-0.00122732901433728,,0.881639500252008,0.508766899877732,0.899475020616616,2.28836746997117,0.907909044754318,-0.151614057161528,-0.151727652266854,-0.151820933978434,,0.429313587569508,0.00369093978008765,0.84705659991837,1.27947386091876,0.782360202601982,-0.266066146886173,-0.266265493916027,-0.266429193153682,,0.722936560383203,0.872140093010324,0.909246747607136,2.502802441216,0.924338048151784,-0.129115091440714,-0.129211829452254,-0.129291268502603,,0.239217815467813,0.223153708315957,0.240698107102498,0.00724851872999728,0.621509536022002,0.650561791075693,-0.268546708817589,-0.231411129487622,-0.273406176643175,-0.295785916407803,,0.497242266177336,0.808716907924796,-0.0336816353132082,0.0237317974906272,1.07675725527489,0.745879833641334,-0.256713790814833,-0.221214508824465,-0.261359136916231,-0.282752762843442,,0.653456517005197,0.829774345245955,0.689848474210379,1.73387426689526,0.849907310893361,-0.141065631382119,-0.161734075242612,-0.216836637683362,0.722342437109984,1
4.6,3.4,1.4,0.3,Iris-setosa,0,,0.434734458974035,0.674532999880892,0.750417257604614,0.464275509962614,0.144145785823899,5.62720331033474,0.996414278164128,-0.0327524888582596,-0.0242083613300179,-0.00996814878294857,-0.00213603188206041,-0.00712010627353469,,0.727646431501843,0.564064109600559,0.549385142911325,0.447858843201361,0.146036595153704,6.31452500574034,0.998193444336933,-0.0165603153050953,-0.0122402330515922,-0.00504009596242032,-0.00108002056337578,-0.00360006854458594,,0.866478094535855,0.493594134651047,0.884292927218773,2.24036650170258,0.903816323869061,-0.156578335254905,-0.156857916633438,-0.157141802045829,,0.402706972880891,-0.022935609611515,0.820413680603002,1.19878248314169,0.768308123211799,-0.272553394456171,-0.273040057273361,-0.273534212053189,,0.710025051239132,0.859218910065098,0.896317620756875,2.46146340294307,0.921395716120605,-0.132986798411771,-0.133224255479929,-0.133465368096487,,0.212363144586054,0.200012595367195,0.21335748943818,-0.022330072910783,0.519865182290135,0.627116240883227,-0.265081696282866,-0.225338285213793,-0.270237583596024,-0.293291556350856,,0.471570887095853,0.78659545704235,-0.0598175490048313,-0.00454347879371701,0.970902032750178,0.725299255535871,-0.261218827840753,-0.222054572445397,-0.266299581658568,-0.289017603402566,,0.639349953866985,0.813600937721694,0.668164810442043,1.6592157045528,0.840132692628274,-0.141525101201094,-0.163682653787156,-0.225676026188973,0.705822941222833,1
5,3.4,1.5,0.2,Iris-setosa,0,,0.431459210088209,0.672112163747891,0.749420442726319,0.464061906774408,0.143433775196546,5.80285422782478,0.996990160746361,-0.0299174825550578,-0.0203438881374393,-0.00897524476651735,-0.00119669930220231,-0.00598349651101157,,0.725990399971333,0.5628400862954,0.548881133315083,0.447750841145024,0.145676588299245,6.6021567497619,0.998644402912193,-0.0135192429198183,-0.00919308518547642,-0.00405577287594548,-0.000540769716792731,-0.00270384858396365,,0.850820261010365,0.477908342987703,0.86857874701419,2.19409866763488,0.899718316148935,-0.161865990516986,-0.162134564428013,-0.16235465192135,,0.375451633435273,-0.0502396153388512,0.793060259397683,1.11721033310619,0.753470895321489,-0.27907570401525,-0.279538756525914,-0.279918212840064,,0.696726371397955,0.845896484517105,0.882971083947227,2.42235021066961,0.918515818009428,-0.137077904777351,-0.137305349399188,-0.137491732791758,,0.185854974957768,0.177478766845816,0.186333731078578,-0.0516592285458686,0.420433461351296,0.603586968704964,-0.259874813013893,-0.217632679604879,-0.265304287098663,-0.288840194035657,,0.445449004311778,0.76438999979781,-0.0864475071706881,-0.0334452391339736,0.863875603714326,0.703469742535485,-0.264056229069421,-0.221134414806354,-0.269573064025558,-0.293487666450608,,0.625197443746875,0.797232672342978,0.645597207823145,1.58378730049041,0.829740223525592,-0.141503179215534,-0.164919407163943,-0.234437101117571,0.6884688385363,1
4.4,2.9,1.4,0.2,Iris-setosa,0,,0.428467461832703,0.670077774934147,0.748522918249667,0.463942236844188,0.142835425545445,5.11203833783674,0.994012276919365,-0.0520628424981125,-0.0343141461919378,-0.0165654498857631,-0.00236649284082329,-0.0118324642041165,,0.724638475679351,0.561920777776852,0.548475556027489,0.447696764173345,0.145406203440849,5.82079088325602,0.997043507722034,-0.0258635205578817,-0.0170464112767856,-0.00822930199568962,-0.0011756145708128,-0.00587807285406401,,0.834633661958666,0.461694886544902,0.852343281822055,2.14230927771719,0.894947917957006,-0.167271492597463,-0.167781585392636,-0.168279101256042,,0.347544063033748,-0.0781934909914426,0.765068438113676,1.03256919100052,0.737413683829331,-0.283867857017004,-0.284733509295208,-0.285577817908613,,0.68301858092022,0.832165949577186,0.869221910668051,2.37785642284007,0.915123084666172,-0.141309172597499,-0.141740093549507,-0.142160389643721,,0.159867493656378,0.155715498885328,0.159803302368711,-0.0805432479494343,0.323596263313194,0.580200438181723,-0.252944851167679,-0.208419943510255,-0.258647087508071,-0.282636392679814,,0.419043381404836,0.742276558317175,-0.113404813573244,-0.0627940057790344,0.755813524418573,0.680444115345286,-0.264825317904387,-0.218209137457907,-0.270795380329613,-0.295911429694068,,0.611047125825322,0.780740731626584,0.622153497711388,1.5079337443106,0.818754785963043,-0.140988048357776,-0.165347148202287,-0.24299886570168,0.670359399537388,1
4.9,3.1,1.5,0.1,Iris-setosa,0,,0.423261177582892,0.666646360314953,0.746866373261091,0.463705587560105,0.141652179125033,5.4489057849052,0.995717411105442,-0.0416106657830193,-0.0263251150872163,-0.0127379589131692,-0.000849197260877945,-0.00849197260877945,,0.722052123623563,0.560216136649173,0.54765262582792,0.447579202716263,0.144818396155442,6.28578068453685,0.998140860540208,-0.0181518842492534,-0.0114838451372827,-0.00555669925997552,-0.000370446617331701,-0.00370446617331701,,0.81790651269892,0.444916728005638,0.83551537169645,2.09400869280758,0.890319490205473,-0.173135975712218,-0.173557366638798,-0.173880634988599,,0.319157277332048,-0.106666841920963,0.736510656322815,0.947832580857247,0.720679083697573,-0.288903890566655,-0.28960704586201,-0.290146468610923,,0.66888766366047,0.817991940222236,0.855005871703679,2.33750014361243,0.911935530538913,-0.145846191812341,-0.146201162878598,-0.146473477500432,,0.13457300853961,0.134873504534302,0.133938593617904,-0.108806887217416,0.230349961234428,0.557334196242614,-0.244840485331365,-0.198188873277339,-0.250784960168101,-0.275002948969318,,0.392560849614397,0.720455644571384,-0.140484351606205,-0.0923851487484412,0.648224068814905,0.656610149121503,-0.26362009613673,-0.213390239591676,-0.270020520583781,-0.296096063308566,,0.596948320989544,0.764206016806355,0.59785361114122,1.43233875047308,0.807265458643577,-0.140003206237348,-0.164941478101904,-0.251201536136144,0.651677520719024,1
